------ TOKENS ------
fn WITH TYPE 0
main WITH TYPE 0
( WITH TYPE 17
) WITH TYPE 18
{ WITH TYPE 19
let WITH TYPE 1
mut WITH TYPE 2
var1 WITH TYPE 0
= WITH TYPE 11
0 WITH TYPE 3
; WITH TYPE 23
let WITH TYPE 1
mut WITH TYPE 2
var2 WITH TYPE 0
= WITH TYPE 11
10 WITH TYPE 3
; WITH TYPE 23
let WITH TYPE 1
mut WITH TYPE 2
var3 WITH TYPE 0
= WITH TYPE 11
98 WITH TYPE 3
; WITH TYPE 23
let WITH TYPE 1
mut WITH TYPE 2
i WITH TYPE 0
= WITH TYPE 11
0 WITH TYPE 3
; WITH TYPE 23
var1 WITH TYPE 0
= WITH TYPE 11
( WITH TYPE 17
( WITH TYPE 17
( WITH TYPE 17
( WITH TYPE 17
25 WITH TYPE 3
- WITH TYPE 14
5 WITH TYPE 3
) WITH TYPE 18
* WITH TYPE 15
5 WITH TYPE 3
) WITH TYPE 18
/ WITH TYPE 16
2 WITH TYPE 3
) WITH TYPE 18
+ WITH TYPE 13
50 WITH TYPE 3
) WITH TYPE 18
- WITH TYPE 14
var3 WITH TYPE 0
; WITH TYPE 23
println! WITH TYPE 28
( WITH TYPE 17
" WITH TYPE 21
{ WITH TYPE 19
} WITH TYPE 20
" WITH TYPE 21
, WITH TYPE 22
var1 WITH TYPE 0
) WITH TYPE 18
; WITH TYPE 23
for WITH TYPE 8
i WITH TYPE 0
in WITH TYPE 9
1 WITH TYPE 3
.. WITH TYPE 10
5 WITH TYPE 3
{ WITH TYPE 19
var1 WITH TYPE 0
= WITH TYPE 11
var1 WITH TYPE 0
* WITH TYPE 15
2 WITH TYPE 3
; WITH TYPE 23
println! WITH TYPE 28
( WITH TYPE 17
" WITH TYPE 21
{ WITH TYPE 19
} WITH TYPE 20
" WITH TYPE 21
, WITH TYPE 22
var1 WITH TYPE 0
) WITH TYPE 18
; WITH TYPE 23
} WITH TYPE 20
if WITH TYPE 6
var1 WITH TYPE 0
== WITH TYPE 12
32 WITH TYPE 3
{ WITH TYPE 19
for WITH TYPE 8
i WITH TYPE 0
in WITH TYPE 9
0 WITH TYPE 3
.. WITH TYPE 10
3 WITH TYPE 3
{ WITH TYPE 19
var1 WITH TYPE 0
= WITH TYPE 11
var1 WITH TYPE 0
/ WITH TYPE 16
2 WITH TYPE 3
; WITH TYPE 23
println! WITH TYPE 28
( WITH TYPE 17
" WITH TYPE 21
{ WITH TYPE 19
} WITH TYPE 20
" WITH TYPE 21
, WITH TYPE 22
var1 WITH TYPE 0
) WITH TYPE 18
; WITH TYPE 23
} WITH TYPE 20
} WITH TYPE 20
if WITH TYPE 6
var2 WITH TYPE 0
< WITH TYPE 25
var1 WITH TYPE 0
* WITH TYPE 15
2 WITH TYPE 3
{ WITH TYPE 19
println! WITH TYPE 28
( WITH TYPE 17
" WITH TYPE 21
{ WITH TYPE 19
} WITH TYPE 20
" WITH TYPE 21
, WITH TYPE 22
var2 WITH TYPE 0
) WITH TYPE 18
; WITH TYPE 23
} WITH TYPE 20
else WITH TYPE 7
{ WITH TYPE 19
let WITH TYPE 1
mut WITH TYPE 2
temp WITH TYPE 0
= WITH TYPE 11
var2 WITH TYPE 0
; WITH TYPE 23
var2 WITH TYPE 0
= WITH TYPE 11
var1 WITH TYPE 0
; WITH TYPE 23
var1 WITH TYPE 0
= WITH TYPE 11
temp WITH TYPE 0
; WITH TYPE 23
println! WITH TYPE 28
( WITH TYPE 17
" WITH TYPE 21
{ WITH TYPE 19
} WITH TYPE 20
" WITH TYPE 21
, WITH TYPE 22
var1 WITH TYPE 0
) WITH TYPE 18
; WITH TYPE 23
println! WITH TYPE 28
( WITH TYPE 17
" WITH TYPE 21
{ WITH TYPE 19
} WITH TYPE 20
" WITH TYPE 21
, WITH TYPE 22
var2 WITH TYPE 0
) WITH TYPE 18
; WITH TYPE 23
} WITH TYPE 20
} WITH TYPE 20

------ AST ------
+-SEQ
  +-DCLRT
